sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
6,850.0,22.5,False,5100.0,120,114,1734.0,1145.6274544631067,1139.9290018431695,0.9605423462369818,1780.0,-240.0,-145.6274544631067,False
6,850.0,22.5,True,5100.0,140,133,1853.0,,1139.9290018431695,0.9605423462369818,1780.0,-240.0,-154.07113746690038,False
6,900.0,0.0,False,5400.0,120,114,1794.0,1115.3823074347283,1115.3823074347285,0.9783847514246414,0.0,-1800.0,-115.38230743472832,False
6,900.0,0.0,True,5400.0,140,133,1913.0,,1115.3823074347285,0.9783847514246414,0.0,-1800.0,-129.52444305845938,False
6,900.0,7.5,False,5400.0,120,114,1794.0,1115.3823074347283,1109.5543972131854,0.9778345450972686,240.0,-1780.0,-115.38230743472832,False
6,900.0,7.5,True,5400.0,140,133,1913.0,,1109.5543972131854,0.9778345450972686,240.0,-1780.0,-123.69653283691628,False
6,900.0,15.0,False,5400.0,120,114,1794.0,1115.3823074347283,1112.7544569254828,0.9773629396738063,460.0,-1740.0,-115.38230743472832,False
6,900.0,15.0,True,5400.0,140,133,1913.0,,1112.7544569254828,0.9773629396738063,460.0,-1740.0,-126.89659254921366,False
6,900.0,22.5,False,5400.0,120,114,1794.0,1115.3823074347283,1109.5543972131854,0.9778345450972686,1780.0,-240.0,-115.38230743472832,False
6,900.0,22.5,True,5400.0,140,133,1913.0,,1109.5543972131854,0.9778345450972686,1780.0,-240.0,-123.69653283691628,False
6,950.0,0.0,False,5700.0,120,114,1854.0,1086.5970361901507,1086.597036190151,0.9887600707408135,0.0,-1800.0,-86.59703619015067,False
6,950.0,0.0,True,5700.0,140,133,1973.0,,1086.597036190151,0.9887600707408135,0.0,-1800.0,-100.73917181388174,False
6,950.0,7.5,False,5700.0,120,114,1854.0,1086.5970361901507,1080.6404543172841,0.9882884653173512,240.0,-1780.0,-86.59703619015067,False
6,950.0,7.5,True,5700.0,140,133,1973.0,,1080.6404543172841,0.9882884653173512,240.0,-1780.0,-94.78258994101498,False
6,950.0,15.0,False,5700.0,120,114,1854.0,1086.5970361901507,1083.76983889936,0.9887600707408135,460.0,-1740.0,-86.59703619015067,False
6,950.0,15.0,True,5700.0,140,133,1973.0,,1083.76983889936,0.9887600707408135,460.0,-1740.0,-97.91197452309075,False
6,950.0,22.5,False,5700.0,120,114,1854.0,1086.5970361901507,1080.6404543172844,0.9882884653173512,1780.0,-240.0,-86.59703619015067,False
