source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
-500.000000,-260.000000,0.014477871685,1.000000000000,0.000000,292.011283198,26.187879781,0.004825957228
-500.000000,-260.000000,0.014477871685,1.000000000000,1.000000,293.011283198,26.116788550,0.004825957228
-480.000000,-240.000000,0.014477871685,1.000000000000,-1.000000,294.016893478,26.053668009,0.004825957228
-480.000000,-240.000000,0.014477871685,1.000000000000,0.000000,295.016893478,25.999124174,0.004825957228
-480.000000,-240.000000,0.014477871685,1.000000000000,1.000000,296.016893478,25.952697166,0.004825957228
-460.000000,-240.000000,0.014477871685,1.000000000000,-1.000000,296.072080238,25.950369852,0.004825957228
-460.000000,-240.000000,0.014477871685,1.000000000000,0.000000,297.072080238,25.912430196,0.004825957228
-460.000000,-240.000000,0.014477871685,1.000000000000,1.000000,298.072080238,25.882473857,0.004825957228
-440.000000,-220.000000,0.014477871685,1.000000000000,-1.000000,299.173520030,25.858663357,0.004825957228
-440.000000,-220.000000,0.014477871685,1.000000000000,0.000000,300.173520030,25.845348588,0.004825957228
-440.000000,-220.000000,0.014477871685,1.000000000000,1.000000,301.173520030,25.839914562,0.004825957228
-420.000000,-200.000000,0.014477871685,1.000000000000,-1.000000,302.366366001,26.313259002,0.004825957228
-420.000000,-200.000000,0.014477871685,1.000000000000,0.000000,303.366366001,26.784497880,0.004825957228
-420.000000,-200.000000,0.014477871685,1.000000000000,1.000000,304.366366001,27.270849273,0.004825957228
-400.000000,-200.000000,0.014477871685,1.000000000000,-1.000000,304.272421449,27.224503085,0.004825957228
-400.000000,-200.000000,0.014477871685,1.000000000000,0.000000,305.272421449,27.724972331,0.004825957228
-400.000000,-200.000000,0.014477871685,1.000000000000,1.000000,306.272421449,28.241544355,0.004825957228
-380.000000,-180.000000,0.014477871685,1.000000000000,-1.000000,307.480198248,28.887779122,0.004825957228
-380.000000,-180.000000,0.014477871685,1.000000000000,0.000000,308.480198248,29.442115181,0.004825957228
-380.000000,-180.000000,0.014477871685,1.000000000000,1.000000,309.480198248,30.014689624,0.004825957228
-360.000000,-180.000000,0.014477871685,1.000000000000,-1.000000,309.236358309,29.873350026,0.004825957228
-360.000000,-180.000000,0.014477871685,1.000000000000,0.000000,310.236358309,30.460237678,0.004825957228
-360.000000,-180.000000,0.014477871685,1.000000000000,1.000000,311.236358309,31.066795331,0.004825957228
-360.000000,-160.000000,0.014477871685,1.000000000000,-1.000000,310.729512077,30.756850898,0.004825957228
-360.000000,-160.000000,0.014477871685,1.000000000000,0.000000,311.729512077,31.373437632,0.004825957228
-360.000000,-160.000000,0.014477871685,1.000000000000,1.000000,312.729512077,32.011069521,0.004825957228
-340.000000,-160.000000,0.014477871685,1.000000000000,-1.000000,312.408859729,31.804259191,0.004825957228
-340.000000,-160.000000,0.014477871685,1.000000000000,0.000000,313.408859729,32.456758452,0.004825957228
-340.000000,-160.000000,0.014477871685,1.000000000000,1.000000,314.408859729,33.132037121,0.004825957228
-320.000000,-160.000000,0.014477871685,1.000000000000,-1.000000,314.000000000,32.853119126,0.004825957228
-320.000000,-160.000000,0.014477871685,1.000000000000,0.000000,315.000000000,33.542392045,0.004825957228
-320.000000,-160.000000,0.014477871685,1.000000000000,1.000000,316.000000000,34.256287663,0.004825957228
-320.000000,-140.000000,0.014477871685,1.000000000000,-1.000000,315.591140271,33.961349686,0.004825957228
-320.000000,-140.000000,0.014477871685,1.000000000000,0.000000,316.591140271,34.690391026,0.004825957228
-320.000000,-140.000000,0.014477871685,1.000000000000,1.000000,317.591140271,35.446113530,0.004825957228
-300.000000,-140.000000,0.014477871685,1.000000000000,-1.000000,317.094058059,35.067036002,0.004825957228
-300.000000,-140.000000,0.014477871685,1.000000000000,0.000000,318.094058059,35.836705323,0.004825957228
-300.000000,-140.000000,0.014477871685,1.000000000000,1.000000,319.094058059,36.635219503,0.004825957228
-300.000000,-120.000000,0.014477871685,1.000000000000,-1.000000,318.763641691,36.368092111,0.004825957228
-300.000000,-120.000000,0.014477871685,1.000000000000,0.000000,319.763641691,37.186790944,0.004825957228
-300.000000,-120.000000,0.014477871685,1.000000000000,1.000000,320.763641691,38.037018164,0.004825957228
-280.000000,-120.000000,0.014477871685,1.000000000000,-1.000000,320.170175095,37.528536407,0.004825957228
-280.000000,-120.000000,0.014477871685,1.000000000000,0.000000,321.170175095,38.392078186,0.004825957228
-280.000000,-120.000000,0.014477871685,1.000000000000,1.000000,322.170175095,39.289665503,0.004825957228
-260.000000,-120.000000,0.014477871685,1.000000000000,-1.000000,321.495857640,38.680576554,0.004825957228
-260.000000,-120.000000,0.014477871685,1.000000000000,0.000000,322.495857640,39.589665705,0.004825957228
-260.000000,-120.000000,0.014477871685,1.000000000000,1.000000,323.495857640,40.535413651,0.004825957228
-260.000000,-100.000000,0.014477871685,1.000000000000,-1.000000,323.211026541,40.262179638,0.004825957228
-260.000000,-100.000000,0.014477871685,1.000000000000,0.000000,324.211026541,41.235449561,0.004825957228
-260.000000,-100.000000,0.014477871685,1.000000000000,1.000000,325.211026541,42.249150703,0.004825957228
-240.000000,-100.000000,0.014477871685,1.000000000000,-1.000000,324.437475351,41.461375718,0.004825957228
-240.000000,-100.000000,0.014477871685,1.000000000000,0.000000,325.437475351,42.484563130,0.004825957228
-240.000000,-100.000000,0.014477871685,1.000000000000,1.000000,326.437475351,43.551184424,0.004825957228
-220.000000,-100.000000,0.014477871685,1.000000000000,-1.000000,325.592175410,42.646665004,0.004825957228
-220.000000,-100.000000,0.014477871685,1.000000000000,0.000000,326.592175410,43.720237997,0.004825957228
-220.000000,-100.000000,0.014477871685,1.000000000000,1.000000,327.592175410,44.840333509,0.004825957228
-220.000000,-80.000000,0.014477871685,1.000000000000,-1.000000,327.324531262,44.535826819,0.004825957228
-220.000000,-80.000000,0.014477871685,1.000000000000,0.000000,328.324531262,45.691821178,0.004825957228
-220.000000,-80.000000,0.014477871685,1.000000000000,1.000000,329.324531262,46.899509876,0.004825957228
-200.000000,-80.000000,0.014477871685,1.000000000000,-1.000000,328.381394591,45.759078049,0.004825957228
-200.000000,-80.000000,0.014477871685,1.000000000000,0.000000,329.381394591,46.969803457,0.004825957228
-200.000000,-80.000000,0.014477871685,1.000000000000,1.000000,330.381394591,48.235735950,0.004825957228
-200.000000,-60.000000,0.014477871685,1.000000000000,-1.000000,330.144338780,47.930460102,0.004825957228
-200.000000,-60.000000,0.014477871685,1.000000000000,0.000000,331.144338780,49.240920974,0.004825957228
-200.000000,-60.000000,0.014477871685,1.000000000000,1.000000,332.144338780,50.613143785,0.004825957228
-180.000000,-60.000000,0.014477871685,1.000000000000,-1.000000,331.102728969,49.185189036,0.004825957228
-180.000000,-60.000000,0.014477871685,1.000000000000,0.000000,332.102728969,50.554761449,0.004825957228
-180.000000,-60.000000,0.014477871685,1.000000000000,1.000000,333.102728969,51.990070927,0.004825957228
-160.000000,-60.000000,0.014477871685,1.000000000000,-1.000000,332.004161606,50.416915879,0.004825957228
-160.000000,-60.000000,0.014477871685,1.000000000000,0.000000,333.004161606,51.845552125,0.004825957228
-160.000000,-60.000000,0.014477871685,1.000000000000,1.000000,334.004161606,53.343962063,0.004825957228
-160.000000,-40.000000,0.014477871685,1.000000000000,-1.000000,333.746836605,52.951454534,0.004825957228
-160.000000,-40.000000,0.014477871685,1.000000000000,0.000000,334.746836605,54.504798760,0.004825957228
-160.000000,-40.000000,0.014477871685,1.000000000000,1.000000,335.746836605,56.136644659,0.004825957228
-140.000000,-40.000000,0.014477871685,1.000000000000,-1.000000,334.556045220,54.202538573,0.004825957228
-140.000000,-40.000000,0.014477871685,1.000000000000,0.000000,335.556045220,55.818987242,0.004825957228
-140.000000,-40.000000,0.014477871685,1.000000000000,1.000000,336.556045220,57.518456574,0.004825957228
-120.000000,-40.000000,0.014477871685,1.000000000000,-1.000000,335.317912275,55.426741869,0.004825957228
-120.000000,-40.000000,0.014477871685,1.000000000000,0.000000,336.317912275,57.105912640,0.004825957228
-120.000000,-40.000000,0.014477871685,1.000000000000,1.000000,337.317912275,58.872661742,0.004825957228
-140.000000,-20.000000,0.014477871685,1.000000000000,-1.000000,336.306205055,57.085759631,0.004825957228
-140.000000,-20.000000,0.014477871685,1.000000000000,0.000000,337.306205055,58.851447131,0.004825957228
-140.000000,-20.000000,0.014477871685,1.000000000000,1.000000,338.306205055,60.711104976,0.004825957228
-120.000000,-20.000000,0.014477871685,1.000000000000,-1.000000,337.025492009,58.346598082,0.004825957228
