phase,x_m,y_m,reachable,detection_probability,geometry_score,passes_coarse_screen,proxy_score,expected_log_diameter_gain,selected,in_excellent_region
coarse,-300.000000,-1050.000000,True,0.930636646,0.791114458,True,0.736240106,4.956044362,False,False
coarse,-150.000000,-1050.000000,True,0.974490401,0.852354773,True,0.830611544,5.316711267,False,False
coarse,0.000000,-1050.000000,True,0.976873043,0.903050287,True,0.882165482,5.430852711,False,False
coarse,150.000000,-1050.000000,True,0.932332144,0.936639583,True,0.873259191,5.227752412,False,False
coarse,300.000000,-1050.000000,True,0.821828895,0.956122018,True,0.785768701,4.597832722,False,False
coarse,450.000000,-1050.000000,True,0.682432827,0.967929279,False,0.660546714,,False,False
coarse,600.000000,-1050.000000,True,0.512528205,0.976492561,False,0.500479980,,False,False
coarse,750.000000,-1050.000000,True,0.322682080,0.984860878,False,0.317796957,,False,False
coarse,900.000000,-1050.000000,True,0.142972437,0.992059084,False,0.141837105,,False,False
coarse,1050.000000,-1050.000000,True,0.015395074,0.996722382,False,0.015344615,,False,False
coarse,1200.000000,-1050.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,1350.000000,-1050.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1500.000000,-900.000000,True,0.205225137,0.027401243,False,0.005623424,,False,False
coarse,-1350.000000,-900.000000,True,0.297977939,0.103410085,False,0.030813924,,False,False
coarse,-1200.000000,-900.000000,True,0.411575895,0.186920552,False,0.076931993,,False,False
coarse,-1050.000000,-900.000000,True,0.526023072,0.280961808,False,0.147792393,,False,False
coarse,-900.000000,-900.000000,True,0.647141411,0.381451229,False,0.246852886,,False,False
coarse,-750.000000,-900.000000,True,0.786989704,0.481006804,False,0.378547403,,False,False
coarse,-600.000000,-900.000000,True,0.923185259,0.575980968,True,0.531737140,4.468847033,False,False
coarse,-450.000000,-900.000000,True,1.000000000,0.672041501,True,0.672041501,5.104105523,False,False
coarse,-300.000000,-900.000000,True,1.000000000,0.767578015,True,0.767578015,5.372535319,False,False
coarse,-150.000000,-900.000000,True,1.000000000,0.844030777,True,0.844030777,5.554929161,False,False
coarse,0.000000,-900.000000,True,1.000000000,0.899592110,True,0.899592110,5.670612885,False,False
coarse,150.000000,-900.000000,True,1.000000000,0.934934710,True,0.934934710,5.722439227,False,False
coarse,300.000000,-900.000000,True,0.973095137,0.954491510,True,0.928811047,5.560986886,False,False
coarse,450.000000,-900.000000,True,0.864435015,0.963017906,True,0.832466398,4.889534793,False,False
coarse,600.000000,-900.000000,True,0.706762510,0.966862909,False,0.683342457,,False,False
coarse,750.000000,-900.000000,True,0.525315324,0.972242597,False,0.510733935,,False,False
coarse,900.000000,-900.000000,True,0.342544743,0.976362572,False,0.334447867,,False,False
coarse,1050.000000,-900.000000,True,0.166085119,0.981240276,False,0.162969408,,False,False
coarse,1200.000000,-900.000000,True,0.038836180,0.982887983,False,0.038171614,,False,False
coarse,1350.000000,-900.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,1500.000000,-900.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1500.000000,-750.000000,True,0.258350521,0.091006926,False,0.023511687,,False,False
coarse,-1350.000000,-750.000000,True,0.374944908,0.019855514,False,0.007444724,,False,False
coarse,-1200.000000,-750.000000,True,0.500850159,0.061557434,False,0.030831051,,False,False
coarse,-1050.000000,-750.000000,True,0.635727624,0.155631488,False,0.098939236,,False,False
coarse,-900.000000,-750.000000,True,0.793760839,0.261146915,False,0.207288194,,False,False
coarse,-750.000000,-750.000000,True,0.949550373,0.375387242,False,0.356449096,,False,False
coarse,-600.000000,-750.000000,True,1.000000000,0.505668719,True,0.505668719,4.686258657,False,False
coarse,-450.000000,-750.000000,True,1.000000000,0.635151752,True,0.635151752,5.136089224,False,False
coarse,-300.000000,-750.000000,True,1.000000000,0.745460632,True,0.745460632,5.449951540,False,False
coarse,-150.000000,-750.000000,True,1.000000000,0.831488078,True,0.831488078,5.656109928,False,False
coarse,0.000000,-750.000000,True,1.000000000,0.891198494,True,0.891198494,5.774314915,False,False
coarse,150.000000,-750.000000,True,1.000000000,0.925923544,True,0.925923544,5.809736329,False,False
coarse,300.000000,-750.000000,True,0.992690929,0.940694224,True,0.933818623,5.740863907,False,False
coarse,450.000000,-750.000000,True,0.948170825,0.945538638,True,0.896532150,5.410881995,False,False
coarse,600.000000,-750.000000,True,0.834586171,0.945532634,True,0.789128461,4.683757328,False,False
coarse,750.000000,-750.000000,True,0.662796512,0.946573272,False,0.627385464,,False,False
coarse,900.000000,-750.000000,True,0.485194627,0.947724801,False,0.459830982,,False,False
coarse,1050.000000,-750.000000,True,0.309096306,0.951285728,False,0.294038904,,False,False
coarse,1200.000000,-750.000000,True,0.148404993,0.952803926,False,0.141400860,,False,False
coarse,1350.000000,-750.000000,True,0.032849132,0.953850493,False,0.031333161,,False,False
coarse,1500.000000,-750.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1650.000000,-600.000000,True,0.199238851,0.270178026,False,0.053829960,,False,False
coarse,-1500.000000,-600.000000,True,0.309023852,0.215402882,False,0.066564628,,False,False
coarse,-1350.000000,-600.000000,True,0.442314915,0.152311125,False,0.067369482,,False,False
coarse,-1200.000000,-600.000000,True,0.587415235,0.078982069,False,0.046395271,,False,False
coarse,-1050.000000,-600.000000,True,0.748053381,0.009045022,False,0.006766159,,False,False
coarse,-900.000000,-600.000000,True,0.923449402,0.116126750,False,0.107237178,,False,False
coarse,-750.000000,-600.000000,True,1.000000000,0.257079099,False,0.257079099,,False,False
coarse,-600.000000,-600.000000,True,1.000000000,0.425989284,False,0.425989284,,False,False
coarse,-450.000000,-600.000000,True,1.000000000,0.579136699,True,0.579136699,5.091359792,False,False
coarse,-300.000000,-600.000000,True,1.000000000,0.707784872,True,0.707784872,5.477165959,False,False
coarse,-150.000000,-600.000000,True,1.000000000,0.806835066,True,0.806835066,5.723025876,False,False
coarse,0.000000,-600.000000,True,1.000000000,0.872277425,True,0.872277425,5.842598310,False,False
coarse,150.000000,-600.000000,True,1.000000000,0.906291905,True,0.906291905,5.865452656,False,False
coarse,300.000000,-600.000000,True,0.999401343,0.915400038,True,0.914852027,5.801230039,False,False
coarse,450.000000,-600.000000,True,0.967349093,0.913965369,True,0.884123571,5.520381526,False,False
coarse,600.000000,-600.000000,True,0.897108600,0.908697656,True,0.815200482,5.013624144,False,False
coarse,750.000000,-600.000000,True,0.755447071,0.905845256,False,0.684318145,,False,False
coarse,900.000000,-600.000000,True,0.581819549,0.906199710,False,0.527244706,,False,False
coarse,1050.000000,-600.000000,True,0.409584004,0.906287019,False,0.371200666,,False,False
coarse,1200.000000,-600.000000,True,0.249665973,0.908962067,False,0.226936899,,False,False
coarse,1350.000000,-600.000000,True,0.108862676,0.907505366,False,0.098793463,,False,False
coarse,1500.000000,-600.000000,True,0.015130471,0.914673757,False,0.013839444,,False,False
coarse,1650.000000,-600.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1650.000000,-450.000000,True,0.225539981,0.388012395,False,0.087512308,,False,False
coarse,-1500.000000,-450.000000,True,0.352857925,0.341108463,False,0.120362824,,False,False
coarse,-1350.000000,-450.000000,True,0.498905286,0.289883630,False,0.144624475,,False,False
coarse,-1200.000000,-450.000000,True,0.658744515,0.229391389,False,0.151110319,,False,False
coarse,-1050.000000,-450.000000,True,0.849791629,0.155388769,False,0.132048075,,False,False
coarse,-900.000000,-450.000000,True,1.000000000,0.065423157,False,0.065423157,,False,False
coarse,-750.000000,-450.000000,True,1.000000000,0.077628492,False,0.077628492,,False,False
coarse,-600.000000,-450.000000,True,1.000000000,0.302456270,False,0.302456270,,False,False
coarse,-450.000000,-450.000000,True,1.000000000,0.477419286,False,0.477419286,,False,False
coarse,-300.000000,-450.000000,True,1.000000000,0.636297331,True,0.636297331,5.399148040,False,False
coarse,-150.000000,-450.000000,True,1.000000000,0.757869407,True,0.757869407,5.716033310,False,False
coarse,0.000000,-450.000000,True,1.000000000,0.833606475,True,0.833606475,5.851800324,False,False
coarse,150.000000,-450.000000,True,1.000000000,0.868301046,True,0.868301046,5.855459245,False,False
coarse,300.000000,-450.000000,True,1.000000000,0.872604441,True,0.872604441,5.769345224,False,False
coarse,450.000000,-450.000000,True,0.974857830,0.864625986,True,0.842887412,5.503886568,False,False
coarse,600.000000,-450.000000,True,0.920549002,0.853840074,True,0.786001628,5.067439972,False,False
coarse,750.000000,-450.000000,True,0.810774353,0.848102624,True,0.687619856,4.351349786,False,False
coarse,900.000000,-450.000000,True,0.644510665,0.847991493,False,0.546539561,,False,False
coarse,1050.000000,-450.000000,True,0.479290489,0.847842268,False,0.406362735,,False,False
coarse,1200.000000,-450.000000,True,0.320412552,0.850467564,False,0.272500483,,False,False
coarse,1350.000000,-450.000000,True,0.176653980,0.852028918,False,0.150514299,,False,False
coarse,1500.000000,-450.000000,True,0.057144281,0.853815094,False,0.048790650,,False,False
coarse,1650.000000,-450.000000,True,0.003898609,0.867180112,False,0.003380797,,False,False
coarse,-1650.000000,-300.000000,True,0.242066670,0.502126368,False,0.121548058,,False,False
coarse,-1500.000000,-300.000000,True,0.384777921,0.463786558,False,0.178454828,,False,False
coarse,-1350.000000,-300.000000,True,0.545488888,0.424812157,False,0.231730311,,False,False
coarse,-1200.000000,-300.000000,True,0.727978201,0.377570688,False,0.274863230,,False,False
coarse,-1050.000000,-300.000000,True,0.931958739,0.323320745,False,0.301321593,,False,False
coarse,-900.000000,-300.000000,True,1.000000000,0.280768426,False,0.280768426,,False,False
coarse,-750.000000,-300.000000,True,1.000000000,0.239697212,False,0.239697212,,False,False
coarse,-600.000000,-300.000000,True,1.000000000,0.107154076,False,0.107154076,,False,False
coarse,-450.000000,-300.000000,True,1.000000000,0.245574729,False,0.245574729,,False,False
coarse,-300.000000,-300.000000,True,1.000000000,0.491993843,False,0.491993843,,False,False
coarse,-150.000000,-300.000000,True,1.000000000,0.658831376,True,0.658831376,5.529320117,False,False
coarse,0.000000,-300.000000,True,1.000000000,0.757470598,True,0.757470598,5.737212655,False,False
coarse,150.000000,-300.000000,True,1.000000000,0.798669535,True,0.798669535,5.738693201,False,False
coarse,300.000000,-300.000000,True,1.000000000,0.801532235,True,0.801532235,5.642276245,False,False
coarse,450.000000,-300.000000,True,0.976411905,0.789787731,True,0.771158143,5.371283925,False,False
coarse,600.000000,-300.000000,True,0.924996996,0.776631656,True,0.718381949,4.945797927,False,False
coarse,750.000000,-300.000000,True,0.831104018,0.770027232,True,0.639972726,4.329042377,False,False
coarse,900.000000,-300.000000,True,0.681488634,0.771145305,False,0.525526760,,False,False
