radius_m,channel_order,runs,mean_s,std_s,max_s,completed,clear_failures
1200,legacy,60,3800.280437966667,489.8207103634952,4891.468632,60,0
1200,alternating,60,3802.1971046333333,489.99779041551034,4893.468632,60,0
1175,legacy,60,3752.474422516667,469.364512995211,4874.08347,60,0
1175,alternating,60,3754.3744225166665,469.62011241711986,4875.08347,60,0
1150,legacy,60,3699.9647071,478.3632723381456,4768.213826,60,0
1150,alternating,60,3701.9313737666666,478.5144949861196,4769.213826,60,0
1130,legacy,60,3701.2677701166667,474.92963912983794,4795.43556,60,0
1130,alternating,60,3703.5177701166667,475.1958344962349,4796.43556,60,0
